multiplier, confictSize, confictRate, timeCost, listSize, minHash, maxHash
173, 1, 1.0083593E-5, 0.001, 99171, -2147482940, 2147462751
174, 1, 1.0083593E-5, 0.001, 99171, -2147475855, 2147449057
175, 0, 0.0, 0.001, 99171, -2147420884, 2147370145
176, 15706, 0.15837291, 0.001, 99171, -2147172325, 2147478851
177, 0, 0.0, 0.001, 99171, -2147397089, 2147440600
178, 1, 1.0083593E-5, 0.001, 99171, -2147457186, 2147418124
179, 0, 0.0, 0.001, 99171, -2147359236, 2147476291
180, 36, 3.6300934E-4, 0.0, 99171, -2147310369, 2147312947
181, 0, 0.0, 0.001, 99171, -2147465725, 2147415790
182, 2, 2.0167186E-5, 0.001, 99171, -2147415843, 2147471837
183, 2, 2.0167186E-5, 0.001, 99171, -2147455642, 2147477692
184, 2843, 0.028667655, 0.001, 99171, -2147350789, 2147456931
185, 1, 1.0083593E-5, 0.001, 99171, -2147456232, 2147481776
186, 3, 3.025078E-5, 0.001, 99171, -2147456276, 2147452055
187, 2, 2.0167186E-5, 0.001, 99171, -2147444104, 2147470257
188, 40, 4.0334373E-4, 0.001, 99171, -2147479369, 2147384831
189, 1, 1.0083593E-5, 0.001, 99171, -2147439303, 2147479788
190, 0, 0.0, 0.002, 99171, -2147469951, 2147454721
191, 2, 2.0167186E-5, 0.002, 99171, -2147483015, 2147214368
192, 57835, 0.5831846, 0.001, 99171, -2145196572, 2144611763
193, 1, 1.0083593E-5, 0.0, 99171, -2147424642, 2147421225
194, 0, 0.0, 0.001, 99171, -2147404371, 2147343431
195, 0, 0.0, 0.001, 99171, -2147408583, 2147441203
196, 41, 4.134273E-4, 0.001, 99171, -2147458295, 2147462117
197, 1, 1.0083593E-5, 0.001, 99171, -2147465036, 2147259591
198, 2, 2.0167186E-5, 0.001, 99171, -2147421433, 2147445742
199, 0, 0.0, 0.001, 99171, -2147472192, 2147381757
200, 2840, 0.028637404, 0.001, 99171, -2147342132, 2147458515
201, 2, 2.0167186E-5, 0.002, 99171, -2147415467, 2147438550
202, 0, 0.0, 0.001, 99171, -2147446825, 2147431066
203, 0, 0.0, 0.001, 99171, -2147423422, 2147448144
204, 38, 3.8317652E-4, 0.001, 99171, -2147467184, 2147465035
205, 4, 4.0334373E-5, 0.001, 99171, -2147481017, 2147482800
206, 3, 3.025078E-5, 0.001, 99171, -2147417633, 2147479487
207, 3, 3.025078E-5, 0.001, 99171, -2147482228, 2147369788
208, 15710, 0.15841325, 0.002, 99171, -2147437764, 2147437075
209, 0, 0.0, 0.001, 99171, -2147469874, 2147447425
210, 4, 4.0334373E-5, 0.001, 99171, -2147483225, 2147408961
211, 0, 0.0, 0.002, 99171, -2147272719, 2147452431
212, 43, 4.335945E-4, 0.001, 99171, -2147450673, 2147399063
213, 0, 0.0, 0.001, 99171, -2147480929, 2147482343
214, 8, 8.0668746E-5, 0.001, 99171, -2147329977, 2147449589
215, 1, 1.0083593E-5, 0.002, 99171, -2147397075, 2147419389
216, 2866, 0.028899578, 0.001, 99171, -2147440677, 2147454005
217, 0, 0.0, 0.002, 99171, -2147482076, 2147399902
218, 5, 5.0417966E-5, 0.002, 99171, -2147483185, 2147475677
219, 1, 1.0083593E-5, 0.001, 99171, -2147481204, 2147434227
220, 35, 3.5292577E-4, 0.002, 99171, -2147472121, 2147429078
221, 0, 0.0, 0.002, 99171, -2147472623, 2147480986
222, 2, 2.0167186E-5, 0.001, 99171, -2147463359, 2147460189
223, 0, 0.0, 0.001, 99171, -2147438637, 2147423214
224, 35832, 0.3613153, 0.0, 99171, -2147359085, 2147288392
225, 1, 1.0083593E-5, 0.001, 99171, -2147339165, 2147473472
226, 1, 1.0083593E-5, 0.001, 99171, -2147437517, 2147462785
227, 2, 2.0167186E-5, 0.001, 99171, -2147460897, 2147480318
228, 36, 3.6300934E-4, 0.001, 99171, -2147410257, 2147452432
229, 0, 0.0, 0.002, 99171, -2147107924, 2147477401
230, 2, 2.0167186E-5, 0.001, 99171, -2147456840, 2147458561
231, 2, 2.0167186E-5, 0.001, 99171, -2147437031, 2147453384
232, 2885, 0.029091166, 0.001, 99171, -2147468986, 2147477785
233, 1, 1.0083593E-5, 0.001, 99171, -2147446606, 2147471046
234, 0, 0.0, 0.001, 99171, -2147479913, 2147430238
235, 2, 2.0167186E-5, 0.001, 99171, -2147454695, 2147374642
236, 36, 3.6300934E-4, 0.001, 99171, -2147359414, 2147438556
237, 1, 1.0083593E-5, 0.001, 99171, -2147449345, 2147445632
238, 0, 0.0, 0.001, 99171, -2147424443, 2147476010
239, 3, 3.025078E-5, 0.001, 99171, -2147433490, 2147414625
240, 15828, 0.1596031, 0.001, 99171, -2147416317, 2147304771
241, 0, 0.0, 0.001, 99171, -2147409664, 2147421521
242, 1, 1.0083593E-5, 0.001, 99171, -2147454719, 2147459369
243, 1, 1.0083593E-5, 0.002, 99171, -2147369564, 2147434269
244, 32, 3.2267498E-4, 0.001, 99171, -2147402713, 2147474031
245, 3, 3.025078E-5, 0.001, 99171, -2147465298, 2147422912
246, 1, 1.0083593E-5, 0.002, 99171, -2147480517, 2147433325
247, 4, 4.0334373E-5, 0.001, 99171, -2147441949, 2147403990
248, 2860, 0.028839076, 0.001, 99171, -2147469749, 2147482171
249, 0, 0.0, 0.001, 99171, -2147446918, 2147472880
250, 1, 1.0083593E-5, 0.001, 99171, -2147459471, 2147480009
251, 2, 2.0167186E-5, 0.001, 99171, -2147220551, 2147348355
252, 44, 4.436781E-4, 0.002, 99171, -2147386009, 2147442239
253, 1, 1.0083593E-5, 0.001, 99171, -2147383520, 2147464994
254, 2, 2.0167186E-5, 0.001, 99171, -2147475935, 2147477412
255, 9, 9.0752335E-5, 0.001, 99171, -2147316400, 2147417927
